Date,High,Low,Close,Open
2000-01-03,5384.66,5209.54,5375.11,5209.54
2000-01-04,5533.98,5376.43,5491.01,5533.98
2000-01-05,5464.35,5184.48,5357,5265.09
2000-01-06,5489.86,5391.33,5421.53,5424.21
2000-01-07,5463.25,5330.58,5414.48,5358.28
2000-01-10,5668.28,5459.97,5518.39,5617.59
2000-01-11,5537.69,5221.28,5296.3,5513.04
2000-01-12,5494.3,5267.85,5491.2,5267.85
2000-01-13,5652.22,5430.81,5444.82,5568.64
2000-01-14,5476.38,5344.59,5471.27,5460.31
2000-01-17,5664.5,5404.07,5404.07,5617.7
2000-01-18,5465.54,5347.92,5464.51,5414.26
2000-01-19,5528.12,5460.68,5478.24,5496.68
2000-01-20,5516.16,5348.56,5355.8,5508.04
2000-01-21,5441.83,5330.08,5423.05,5352.63
2000-01-24,5583.22,5439.48,5458.06,5529.38
2000-01-25,5430.29,5351.22,5367.79,5412.49
2000-01-27,5457.3,5362.25,5369.1,5424.14
2000-01-28,5417.53,5331.54,5335.8,5417.53
2000-01-31,5345.3,5186.32,5205.29,5338.67
2000-02-01,5232.84,5127.79,5215.54,5217.65
2000-02-02,5342.98,5264.62,5304.92,5264.62
2000-02-03,5381.74,5323.32,5340.19,5366.62
2000-02-04,5402.7,5313.59,5313.59,5394
2000-02-07,5518.29,5431.55,5474,5431.55
2000-02-08,5647.64,5585.38,5610.56,5585.38
2000-02-09,5756.87,5635.69,5649.1,5704.01
2000-02-10,5789.04,5715.05,5789.04,5765.28
2000-02-11,6005.85,5917.04,5933.56,5985.05
2000-02-14,6150.69,5923.17,5924.31,6130.23
2000-02-15,5941.88,5774.32,5803.19,5797.31
2000-02-16,5864.97,5711.75,5725.5,5782.2
2000-02-17,5877.04,5799.79,5835.15,5810.24
2000-02-18,5894.19,5681.98,5721.65,5894.19
2000-02-21,5941.9,5834.51,5876.89,5874.25
2000-02-22,6009.02,5864.79,5883.33,6000.3
2000-02-23,6033.98,5612.55,5642.46,6002.49
2000-02-24,5816.16,5620.83,5810.17,5764.16
2000-02-25,5840.25,5623.08,5623.08,5840.25
2000-02-28,5740.69,5580.05,5740.69,5737.53
2000-02-29,5903.49,5383.61,5446.98,5827.81
2000-03-01,5681.11,5341.61,5642.12,5464.65
2000-03-02,5828.79,5528.31,5528.31,5803.33
2000-03-03,5602.94,5362.8,5378.27,5602.94
2000-03-06,5692.97,5459.61,5520.69,5662.29
2000-03-07,5674.99,5525.89,5589.85,5674.99
2000-03-08,5783.51,5439.14,5511.42,5711.88
